ID,"TimeResponse(s) 
|actual-standard|",ToolCorrect,"Wrongs
(%)",Complete,"UserButtonPressAmount
|actual-standard|",Target1_StressManagement,Target2_DecisionMaking,Target3_Adaptability
1,128,TRUE,62,FALSE,7,16.68,16.68,23.94
2,133,FALSE,21,TRUE,1,100,100,55.14
3,35,FALSE,18,TRUE,5,28.41,28.41,84.13
4,412,TRUE,73,TRUE,2,51.61,51.61,16.13
5,200,TRUE,77,TRUE,10,11.8,11.8,17.99
6,149,TRUE,47,TRUE,2,52.8,52.8,27.99
7,235,FALSE,41,TRUE,3,36.2,36.2,28.65
8,65,TRUE,12,TRUE,1,100,100,98.72
9,449,FALSE,58,TRUE,6,18.61,18.61,19.47
10,33,TRUE,5,TRUE,1,100,100,100
11,183,TRUE,52,TRUE,5,22.47,22.47,24.7
12,54,TRUE,19,TRUE,1,100,100,71.15
13,472,FALSE,66,TRUE,3,35.06,35.06,17.27
14,40,TRUE,34,TRUE,2,55.44,55.44,54.41
15,204,FALSE,9,FALSE,7,25.89,25.89,100
16,423,FALSE,70,TRUE,6,18.33,18.33,16.65
17,118,TRUE,10,TRUE,2,60.85,60.85,100
18,300,FALSE,11,FALSE,8,21.92,21.92,94.24
19,13,TRUE,60,TRUE,1,100,100,93.59
20,298,TRUE,40,TRUE,4,27.84,27.84,28.36
21,77,TRUE,16,TRUE,2,57.55,57.55,75.49
22,43,TRUE,33,TRUE,1,100,100,53.56
23,185,TRUE,30,FALSE,2,53.87,53.87,38.74
24,10,FALSE,12,TRUE,10,28.33,28.33,100
25,112,TRUE,14,TRUE,3,41.37,41.37,80.36
26,33,FALSE,10,FALSE,1,100,100,100
27,369,TRUE,72,TRUE,2,51.66,51.66,16.6
28,90,FALSE,38,TRUE,2,53.74,53.74,37.43
29,68,TRUE,51,TRUE,1,100,100,34.31
30,99,TRUE,19,TRUE,3,39.61,39.61,62.73
31,397,TRUE,71,TRUE,9,12.77,12.77,16.6
32,94,FALSE,54,TRUE,10,12.92,12.92,29.16
33,443,TRUE,19,TRUE,7,19.77,19.77,54.89
34,23,TRUE,12,TRUE,3,46.01,46.01,100
35,14,TRUE,33,TRUE,1,100,100,100
36,355,TRUE,8,FALSE,2,62.78,62.78,100
37,226,FALSE,74,FALSE,6,18.46,18.46,17.94
38,123,TRUE,39,FALSE,1,100,100,33.77
39,500,TRUE,56,FALSE,9,13.1,13.1,19.86
40,137,FALSE,27,FALSE,3,37.77,37.77,44.34
41,90,FALSE,45,FALSE,2,53.33,53.33,33.33
42,242,TRUE,42,FALSE,2,52.79,52.79,27.94
43,100,FALSE,15,FALSE,5,27.67,27.67,76.67
44,144,TRUE,40,FALSE,2,53.19,53.19,31.94
45,50,FALSE,12,FALSE,1,100,100,100
46,126,TRUE,6,TRUE,3,50.79,50.79,100
47,101,TRUE,45,TRUE,3,36.55,36.55,32.12
48,23,FALSE,11,TRUE,1,100,100,100
49,123,TRUE,21,FALSE,10,15.57,15.57,55.75
50,320,TRUE,22,TRUE,2,54.86,54.86,48.58
51,10,FALSE,77,FALSE,1,100,100,100
52,73,TRUE,88,TRUE,2,52.51,52.51,25.06
