ID,"TimeResponse(s) 
|actual-standard|",ToolCorrect,"Wrongs
(%)",Complete,"UserButtonPressAmount
|actual-standard|",Target1_StressManagement,Target2_DecisionMaking,Target3_Adaptability,
1,128,TRUE,62,FALSE,7,30.84,33.97,53.66,
2,133,FALSE,21,TRUE,1,56.2,53.36,52.93,
3,35,FALSE,18,TRUE,5,58.36,69.64,48.34,
4,412,TRUE,73,TRUE,2,66.35,55.51,54.43,
5,20,TRUE,10,TRUE,2,70.14,40.11,52.36,
6,149,TRUE,47,TRUE,2,63.25,55.72,59.58,
7,235,FALSE,41,TRUE,3,36.53,36.68,59.47,
8,65,TRUE,12,TRUE,1,36.84,53.08,43.06,
9,449,FALSE,58,TRUE,6,55.85,68.72,61.88,
10,91,TRUE,5,TRUE,1,31.39,58.33,56.89,
11,183,TRUE,52,TRUE,5,44.55,59.37,47.69,
12,92,TRUE,19,TRUE,1,46.42,52.94,50.63,
13,472,FALSE,66,TRUE,3,54.4,48.75,64.04,
14,40,TRUE,34,TRUE,2,48.8,45.03,53.37,
15,204,FALSE,9,FALSE,7,37.08,57.73,38.74,
16,423,FALSE,70,TRUE,6,37.8,49.35,63.72,
17,118,TRUE,10,TRUE,2,71.57,53.42,52.85,
18,300,FALSE,11,FALSE,8,45.47,45.36,47.12,
19,425,TRUE,60,TRUE,1,45.94,57.56,61.48,
20,298,TRUE,40,TRUE,4,38.79,47.62,49.83,
21,77,TRUE,16,TRUE,2,46.85,58.59,47.1,
22,43,TRUE,33,TRUE,1,57.06,62.27,64.51,
23,185,TRUE,30,FALSE,2,68.23,46.57,62.29,
24,10,FALSE,12,TRUE,10,69.06,57.21,43.96,
25,112,TRUE,14,TRUE,3,53.45,56.89,57.92,
26,465,FALSE,10,FALSE,1,40.36,54.39,56.09,
27,369,TRUE,72,TRUE,2,68.53,45.64,60.25,
28,90,FALSE,38,TRUE,2,75.45,57.39,48.38,
29,323,TRUE,51,TRUE,1,47.36,53.62,59.4,
30,99,TRUE,19,TRUE,3,36.4,41.92,53.92,
31,397,TRUE,71,TRUE,9,66.45,45.45,39.57,
32,94,FALSE,54,TRUE,10,43.39,56.94,59.89,
33,443,TRUE,19,TRUE,7,52.41,36.06,39.32,
34,23,TRUE,12,TRUE,3,67.26,53.95,60.39,
35,110,TRUE,33,TRUE,1,48.15,52.35,52.42,
36,355,TRUE,8,FALSE,2,42.19,49.24,48.57,
37,226,FALSE,74,FALSE,6,52.24,45.33,54.05,
38,22,TRUE,39,FALSE,1,58.6,56.36,54.18,
39,450,TRUE,56,FALSE,9,49.09,59.97,45.07,
40,137,FALSE,27,FALSE,3,57.13,50.26,49.73,
41,90,FALSE,45,FALSE,2,41.77,51.63,38.71,
42,242,TRUE,42,FALSE,2,55.14,45.33,53.94,
43,100,FALSE,15,FALSE,5,45.33,61.54,57.81,
44,144,TRUE,40,FALSE,2,41.89,44.54,44.72,
45,99,FALSE,12,FALSE,1,63.69,62.07,44.42,
46,126,TRUE,6,TRUE,3,56.85,55.57,44.56,
47,101,TRUE,45,TRUE,3,52.27,64.15,59.02,
48,300,FALSE,11,TRUE,1,60.39,49.95,52.54,
49,123,TRUE,21,FALSE,10,58.02,46.26,53.64,
50,320,TRUE,22,TRUE,2,47.44,54.86,62.06,
51,93,FALSE,77,FALSE,1,50.62,64.67,41.78,
52,73,TRUE,88,TRUE,2,54.14,53.66,56.03,
